loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,revol_bal,revol_util,total_acc,longest_credit_length
30314,36 months,10.18,792.79,E,< 1 year,MORTGAGE,108342.9,Charged Off,debt_consolidation,22.06,5,704,670,4,17156,9.99,38,41
21116,36 months,6.07,931.29,E,5 years,OTHER,144595.5,Charged Off,credit_card,27.13,4,722,751,5,40598,59.01,41,27
30132,60 months,5.14,240.45,E,4 years,OTHER,86300.56,Charged Off,credit_card,21.54,6,823,602,5,28821,62.33,34,47
9371,36 months,16.01,756.95,B,1 year,RENT,182183.87,Default,credit_card,27.99,7,652,809,0,37829,97.77,28,39
2184,60 months,6.5,399.61,D,2 years,RENT,184046.6,Default,credit_card,5.07,9,752,822,7,32831,41.9,26,46
31536,36 months,15.72,918.52,E,1 year,OWN,188260.57,Fully Paid,home_improvement,18.44,7,668,691,8,9316,40.35,31,47
6603,60 months,23.3,818.36,A,6 years,OTHER,95017.26,Fully Paid,home_improvement,19.99,7,782,803,8,29461,97.8,25,11
4144,60 months,21.62,919.1,D,6 years,OWN,118187.1,Charged Off,major_purchase,29.56,1,776,646,6,18299,7.91,23,11
15096,60 months,7.89,209.43,C,8 years,RENT,171085.43,Fully Paid,home_improvement,12.31,9,688,818,3,4016,17.14,26,14
11080,60 months,24.3,822.18,G,2 years,RENT,193882.45,Default,debt_consolidation,24.88,8,766,655,9,32849,19.6,22,49
21457,60 months,24.4,416.05,A,8 years,OWN,35839.02,Charged Off,major_purchase,15.68,6,733,755,2,41461,61.0,8,27
23819,36 months,9.83,879.47,E,9 years,MORTGAGE,58845.97,Charged Off,small_business,6.93,6,630,710,2,21797,83.68,48,18
18036,60 months,23.69,90.47,D,9 years,MORTGAGE,145248.01,Fully Paid,small_business,9.44,7,678,612,6,37526,61.08,18,15
15315,60 months,20.68,200.02,C,4 years,OTHER,190088.7,Fully Paid,debt_consolidation,5.76,4,715,772,1,523,91.64,30,7
20774,60 months,12.31,680.33,F,8 years,OWN,49802.51,Fully Paid,credit_card,22.3,6,813,724,9,28658,9.84,42,42
15003,60 months,14.64,495.69,C,3 years,MORTGAGE,71053.05,Fully Paid,credit_card,22.02,8,840,747,4,43028,15.02,42,5
22237,36 months,18.18,147.43,C,6 years,RENT,146807.93,Charged Off,debt_consolidation,15.85,0,785,827,3,10864,41.16,24,9
33861,60 months,12.79,303.33,C,9 years,RENT,25443.68,Default,home_improvement,9.06,7,832,674,4,1960,59.5,45,1
38024,60 months,24.26,698.52,F,8 years,RENT,49617.61,Fully Paid,major_purchase,8.13,0,602,736,6,44938,5.24,33,20
13804,60 months,15.14,685.02,D,7 years,MORTGAGE,179728.67,Fully Paid,small_business,3.1,3,726,798,4,3424,89.74,45,18
11919,36 months,9.23,193.52,A,< 1 year,OTHER,193140.41,Charged Off,major_purchase,14.26,4,718,784,9,11356,56.74,12,29
8992,36 months,21.97,936.35,A,< 1 year,MORTGAGE,150967.7,Charged Off,debt_consolidation,3.82,3,746,779,5,28039,27.48,16,12
21590,36 months,8.92,210.95,G,3 years,OTHER,77810.72,Charged Off,credit_card,26.18,8,775,634,1,30575,89.82,27,37
28969,60 months,10.61,368.59,D,3 years,OTHER,174694.34,Default,debt_consolidation,20.42,9,728,757,8,25677,20.25,6,34
21734,36 months,13.92,703.29,G,1 year,OTHER,88940.55,Default,credit_card,17.54,5,768,817,2,48904,1.11,48,20
17364,60 months,11.79,797.04,B,6 years,MORTGAGE,167425.59,Default,home_improvement,22.66,2,718,708,9,12572,46.14,10,9
16692,60 months,18.1,228.86,E,1 year,OTHER,62652.19,Charged Off,major_purchase,15.53,5,663,645,6,42526,62.44,41,20
25721,60 months,5.57,538.15,E,8 years,RENT,120893.35,Fully Paid,credit_card,25.23,7,676,614,9,8406,53.45,20,45
36674,36 months,9.87,659.67,E,3 years,OWN,163410.12,Fully Paid,debt_consolidation,1.82,9,703,737,2,5118,95.2,20,25
35526,60 months,18.61,389.69,F,3 years,OWN,145355.28,Fully Paid,home_improvement,10.21,0,611,834,2,15316,89.08,22,39
22554,36 months,20.03,211.4,F,< 1 year,OTHER,162892.9,Fully Paid,major_purchase,8.28,5,836,716,1,31684,22.01,11,35
20232,36 months,20.51,756.74,B,< 1 year,OWN,99541.93,Default,major_purchase,19.09,6,709,802,1,49173,90.62,27,4
22072,36 months,5.49,878.31,A,5 years,RENT,117914.93,Charged Off,credit_card,9.51,5,728,716,8,46347,38.17,21,8
15057,60 months,11.61,315.39,E,3 years,MORTGAGE,49276.68,Charged Off,home_improvement,23.65,0,826,837,5,43473,65.35,49,47
19484,36 months,14.45,441.7,F,2 years,OWN,107719.55,Charged Off,credit_card,9.74,4,702,685,9,41472,14.94,20,48
32238,60 months,21.8,863.71,G,3 years,OWN,57583.38,Default,debt_consolidation,0.21,2,610,732,1,28553,41.7,29,7
1372,36 months,17.95,543.92,B,5 years,OTHER,96628.12,Fully Paid,credit_card,27.17,3,692,614,8,23957,72.32,32,42
11037,36 months,7.07,685.57,A,10+ years,MORTGAGE,62845.84,Default,credit_card,9.75,8,843,711,3,15298,80.12,7,45
4629,60 months,6.37,390.59,F,2 years,RENT,61614.51,Default,debt_consolidation,6.44,8,807,641,9,22181,25.43,34,29
32394,36 months,12.32,219.67,F,8 years,OTHER,154676.22,Default,home_improvement,28.77,0,813,746,7,20392,67.07,41,22
31447,60 months,11.59,855.03,G,4 years,OTHER,27809.67,Charged Off,home_improvement,11.35,8,721,619,1,33501,63.74,9,18
39514,60 months,20.19,648.24,D,3 years,MORTGAGE,124283.07,Charged Off,home_improvement,28.93,0,641,603,8,13789,88.32,15,22
20284,36 months,9.69,793.82,B,10+ years,MORTGAGE,172137.68,Default,small_business,7.23,4,756,722,9,25047,15.55,46,34
20243,36 months,12.39,919.62,F,8 years,RENT,31974.6,Default,credit_card,26.09,9,660,655,0,46713,15.5,41,1
12568,60 months,12.99,126.63,D,6 years,MORTGAGE,135479.77,Charged Off,credit_card,23.14,0,667,748,7,29591,67.75,24,21
38313,60 months,20.99,359.68,B,10+ years,MORTGAGE,179629.62,Charged Off,small_business,24.93,4,844,819,6,30379,10.87,48,29
9319,60 months,17.3,69.48,F,5 years,RENT,113311.13,Default,debt_consolidation,10.65,0,656,775,1,4871,7.3,13,29
18432,36 months,21.88,986.97,G,3 years,MORTGAGE,163677.88,Charged Off,major_purchase,7.08,1,675,695,3,3564,93.84,39,26
38117,36 months,12.31,364.4,G,8 years,OWN,39095.74,Default,home_improvement,0.96,9,731,751,9,44805,12.97,42,7
3287,36 months,6.22,77.12,A,1 year,OWN,169215.79,Charged Off,small_business,20.26,3,662,642,9,35064,67.73,28,42
5055,60 months,22.1,196.14,B,9 years,OWN,110615.09,Default,debt_consolidation,4.36,7,615,646,2,29491,46.86,22,43
21252,36 months,20.67,845.79,G,6 years,OWN,189841.28,Charged Off,home_improvement,17.94,5,695,771,2,25176,0.01,38,25
29170,36 months,7.39,481.45,F,8 years,RENT,82651.41,Fully Paid,debt_consolidation,23.33,0,651,648,6,39851,2.43,27,5
34140,36 months,13.74,899.31,G,3 years,OWN,165816.38,Charged Off,credit_card,19.63,2,647,704,2,32770,7.33,25,21
26279,60 months,22.4,871.2,F,4 years,OWN,106815.83,Default,major_purchase,10.0,5,676,770,3,23183,40.99,8,15
28801,36 months,22.72,597.39,D,9 years,OTHER,85721.45,Fully Paid,major_purchase,26.7,9,671,788,2,3255,45.57,6,28
24557,36 months,18.17,671.96,E,3 years,MORTGAGE,188992.34,Charged Off,credit_card,5.33,1,626,703,4,30365,98.28,35,5
33656,36 months,8.37,797.54,F,1 year,MORTGAGE,169281.41,Charged Off,small_business,17.77,6,764,827,7,6403,70.49,40,26
6789,60 months,13.56,730.76,F,2 years,OWN,31401.41,Default,major_purchase,24.92,5,644,610,8,45124,18.37,39,39
1429,36 months,23.98,605.36,F,5 years,OWN,146782.02,Charged Off,credit_card,26.94,5,718,718,3,1633,75.54,45,8
29408,36 months,10.69,354.35,C,1 year,MORTGAGE,112798.08,Fully Paid,debt_consolidation,18.38,7,683,687,0,46671,32.55,23,11
4005,60 months,23.32,208.01,A,< 1 year,OTHER,54005.57,Charged Off,home_improvement,8.33,3,617,754,7,4399,95.65,34,13
37044,60 months,5.43,377.89,F,3 years,OWN,23181.0,Fully Paid,credit_card,25.66,3,810,739,9,29557,91.35,14,48
38916,36 months,14.74,186.03,C,4 years,MORTGAGE,171444.92,Default,credit_card,11.24,3,707,698,9,45882,21.66,12,10
7954,36 months,7.44,682.22,A,9 years,OWN,192953.96,Charged Off,small_business,28.38,8,628,676,1,21020,50.38,49,12
2795,36 months,8.03,397.32,E,3 years,OTHER,149819.5,Default,small_business,6.13,6,713,620,7,16104,61.24,20,32
18800,36 months,19.16,209.77,C,9 years,OWN,30002.51,Default,small_business,0.83,9,845,784,0,44891,44.3,40,42
20594,36 months,5.72,330.82,A,4 years,MORTGAGE,170098.42,Fully Paid,home_improvement,26.76,4,752,708,2,2731,36.53,32,31
35180,60 months,5.58,839.1,A,4 years,OTHER,57103.48,Fully Paid,home_improvement,9.68,2,656,842,3,40142,46.2,17,9
13538,60 months,7.44,943.07,A,9 years,OTHER,193819.4,Fully Paid,major_purchase,10.83,1,713,625,3,16866,28.28,44,17
34497,36 months,17.94,713.2,C,7 years,OTHER,186835.44,Default,credit_card,7.97,4,760,751,3,18977,35.39,35,35
21550,36 months,8.73,315.56,B,2 years,RENT,26075.43,Charged Off,debt_consolidation,24.58,8,696,618,8,5988,22.53,9,32
34220,60 months,14.27,323.9,B,2 years,OWN,135096.18,Default,small_business,6.02,8,663,713,2,35479,55.3,18,40
35836,36 months,5.51,365.49,F,10+ years,OTHER,173950.13,Charged Off,small_business,14.43,5,737,618,3,33919,11.4,28,24
8774,60 months,9.79,529.49,F,1 year,RENT,48329.94,Fully Paid,major_purchase,27.96,0,730,645,9,25710,57.65,43,5
39228,36 months,9.72,203.86,E,1 year,OWN,172559.68,Charged Off,small_business,16.43,7,600,817,2,35780,57.38,20,31
17598,36 months,24.31,366.76,B,3 years,MORTGAGE,82975.88,Fully Paid,debt_consolidation,23.58,1,607,803,9,25876,49.31,34,9
5093,60 months,6.98,121.16,G,9 years,OWN,41253.14,Fully Paid,credit_card,3.78,8,773,657,1,9961,88.57,47,41
36919,60 months,12.39,498.2,F,5 years,RENT,96358.49,Fully Paid,home_improvement,20.16,8,690,654,1,33274,24.64,20,1
1220,36 months,5.9,995.16,E,7 years,MORTGAGE,51196.92,Fully Paid,home_improvement,5.29,3,685,625,5,2315,85.64,39,39
36948,36 months,14.15,435.35,B,5 years,OTHER,68297.66,Charged Off,small_business,4.36,6,818,646,3,13834,24.29,11,4
25098,36 months,23.73,151.4,E,5 years,RENT,113721.37,Default,small_business,9.73,7,763,648,2,31650,14.23,38,3
32902,60 months,24.25,80.26,B,10+ years,OWN,190664.1,Fully Paid,home_improvement,4.3,5,820,693,8,39279,68.04,17,44
29169,36 months,23.71,580.54,D,6 years,RENT,194907.91,Fully Paid,home_improvement,17.1,8,622,733,3,45913,72.04,15,29
17135,36 months,19.39,365.61,F,< 1 year,MORTGAGE,60890.85,Fully Paid,home_improvement,4.37,0,710,830,9,15530,67.46,46,40
27969,60 months,21.15,278.09,G,3 years,OTHER,188043.03,Charged Off,credit_card,12.77,3,805,833,3,1796,57.72,9,41
19116,36 months,20.57,627.92,B,5 years,OTHER,92254.37,Fully Paid,debt_consolidation,24.26,5,801,778,4,41505,23.48,33,32
17337,60 months,20.25,700.34,C,3 years,RENT,161825.5,Fully Paid,major_purchase,5.45,9,663,700,5,44322,70.34,27,14
22123,36 months,21.44,506.44,C,4 years,RENT,122837.67,Charged Off,home_improvement,4.61,0,771,697,7,33497,45.72,49,1
16590,60 months,15.26,180.98,D,10+ years,OWN,148970.15,Default,major_purchase,1.52,2,670,725,2,7261,56.35,13,48
39946,36 months,11.42,132.93,G,5 years,RENT,149421.59,Fully Paid,credit_card,26.94,4,679,670,4,49844,56.59,45,43
38408,36 months,13.77,322.93,G,6 years,MORTGAGE,78313.27,Default,home_improvement,6.94,0,696,719,2,6215,34.72,43,44
25165,60 months,10.93,768.33,A,3 years,MORTGAGE,87969.68,Fully Paid,major_purchase,3.26,5,769,612,7,25819,84.32,9,39
26647,36 months,13.79,156.86,D,10+ years,RENT,99862.55,Charged Off,credit_card,1.38,2,764,636,3,27190,80.68,34,6
32055,36 months,15.53,616.21,F,4 years,OWN,60873.68,Charged Off,credit_card,9.19,5,603,610,9,11347,47.1,40,9
12732,36 months,7.61,287.85,G,4 years,RENT,129734.43,Fully Paid,major_purchase,5.27,8,620,602,6,10658,60.97,43,8
31817,36 months,5.13,309.15,A,5 years,OTHER,108568.58,Default,home_improvement,22.57,2,641,810,6,7889,93.9,9,41
15101,36 months,23.7,84.65,F,5 years,OTHER,54730.54,Charged Off,major_purchase,18.49,0,831,663,6,46053,85.68,13,44
19752,36 months,7.19,985.97,E,10+ years,OTHER,94515.27,Fully Paid,major_purchase,8.55,0,698,713,5,37004,39.94,15,16
32762,36 months,18.15,899.98,A,4 years,OWN,142768.84,Fully Paid,home_improvement,29.65,7,767,848,1,16339,29.89,5,13
5554,60 months,5.62,506.35,A,9 years,RENT,109017.02,Default,credit_card,12.07,6,774,658,7,6008,91.3,46,24
29977,60 months,12.42,468.02,F,7 years,OTHER,20263.53,Default,debt_consolidation,6.86,3,629,689,0,2922,60.36,47,32
15869,36 months,17.72,99.62,F,3 years,MORTGAGE,105617.36,Charged Off,debt_consolidation,26.57,6,714,703,9,32513,32.26,14,19
7796,60 months,20.19,388.26,A,8 years,RENT,126292.98,Charged Off,credit_card,28.51,2,767,722,4,26391,75.16,8,41
10309,60 months,15.32,169.83,D,9 years,OTHER,143564.56,Charged Off,home_improvement,4.34,4,740,603,4,49573,36.65,35,25
27501,60 months,19.53,753.15,C,5 years,RENT,193757.25,Default,home_improvement,10.24,6,694,629,0,17509,11.7,45,38
14174,36 months,14.28,286.88,B,1 year,RENT,114486.41,Default,debt_consolidation,11.7,7,704,775,5,25249,10.42,46,26
25198,36 months,8.39,610.5,C,10+ years,RENT,93342.11,Fully Paid,home_improvement,25.94,7,807,728,9,36157,58.38,30,41
32839,60 months,5.03,506.35,E,7 years,RENT,63997.47,Fully Paid,major_purchase,22.6,3,747,686,4,1600,99.04,48,11
10589,60 months,20.77,739.98,C,4 years,OWN,112899.7,Charged Off,debt_consolidation,12.04,6,711,744,1,26455,39.97,46,35
36843,60 months,13.87,547.44,C,< 1 year,OTHER,116050.28,Default,debt_consolidation,27.52,4,697,843,8,10932,34.04,34,15
14811,36 months,16.9,828.71,F,9 years,OWN,121946.49,Default,debt_consolidation,18.03,3,839,811,9,17259,42.81,23,10
6473,60 months,24.4,82.57,D,4 years,OTHER,69203.44,Fully Paid,credit_card,3.65,2,831,735,6,2972,59.59,33,21
8270,36 months,18.61,484.92,C,5 years,MORTGAGE,179350.98,Charged Off,debt_consolidation,11.49,2,625,732,7,40141,38.18,9,45
4503,60 months,19.45,494.2,E,8 years,RENT,108104.72,Fully Paid,major_purchase,4.01,3,793,651,9,6133,28.09,41,11
20416,36 months,22.54,65.34,E,9 years,MORTGAGE,156674.72,Default,home_improvement,11.66,8,795,814,9,13324,64.82,38,44
10771,60 months,21.33,94.17,B,2 years,RENT,100402.42,Default,credit_card,4.95,4,635,797,8,32033,69.71,48,11
21975,60 months,5.37,273.64,E,1 year,RENT,119146.31,Default,small_business,4.74,2,704,825,0,23980,51.49,17,3
24111,36 months,8.93,297.67,B,9 years,OWN,198024.67,Default,home_improvement,10.6,4,725,677,4,20186,16.7,11,35
7761,60 months,11.62,95.91,E,7 years,OTHER,48407.09,Default,major_purchase,14.41,4,656,821,2,45885,87.98,22,43
25994,60 months,19.0,405.27,C,3 years,MORTGAGE,59958.77,Fully Paid,major_purchase,15.41,8,785,792,7,44612,33.99,36,38
16694,36 months,21.78,89.7,D,3 years,MORTGAGE,20391.86,Fully Paid,small_business,11.81,2,633,645,3,34775,35.65,11,18
2734,60 months,6.58,676.71,E,4 years,OTHER,154051.99,Default,small_business,6.89,2,673,632,2,46852,58.89,33,7
25557,36 months,18.5,180.29,F,6 years,OWN,178912.99,Default,small_business,12.54,0,802,616,1,1541,16.31,49,47
36410,36 months,13.25,897.17,D,2 years,OTHER,67161.42,Default,small_business,13.14,6,776,612,3,34629,4.35,36,22
39306,36 months,17.24,542.35,E,9 years,RENT,180505.34,Fully Paid,major_purchase,12.09,5,741,689,7,17368,73.66,45,31
33359,36 months,23.21,786.13,B,7 years,OWN,115832.23,Charged Off,debt_consolidation,2.72,4,754,623,9,14267,61.08,26,7
34263,36 months,9.26,876.52,E,4 years,OWN,165107.11,Charged Off,home_improvement,2.0,9,828,711,3,48331,97.64,44,11
27988,60 months,17.92,813.62,A,8 years,OTHER,33012.78,Default,credit_card,23.07,1,743,818,3,4313,4.95,11,33
19396,36 months,7.6,151.97,B,< 1 year,MORTGAGE,180142.24,Fully Paid,major_purchase,0.06,5,698,662,7,2276,71.72,39,15
23433,36 months,12.53,117.06,C,9 years,OWN,133409.05,Default,debt_consolidation,29.78,4,621,715,1,5478,71.21,17,18
35179,36 months,6.03,242.46,E,10+ years,OTHER,86587.4,Charged Off,major_purchase,16.27,0,675,697,1,13768,3.84,20,45
27596,36 months,15.21,255.78,B,5 years,OTHER,152370.01,Default,debt_consolidation,4.23,8,704,705,8,9868,55.39,5,22
36050,36 months,12.45,288.78,D,3 years,MORTGAGE,46820.32,Fully Paid,debt_consolidation,11.74,2,758,797,7,19957,30.42,46,39
36251,36 months,18.01,230.83,F,8 years,OWN,37082.37,Charged Off,major_purchase,14.28,9,802,720,6,25146,54.41,32,49
5278,60 months,9.85,832.65,E,5 years,MORTGAGE,162461.54,Default,debt_consolidation,1.9,7,703,845,0,48609,50.54,11,47
19962,36 months,8.88,989.72,C,8 years,MORTGAGE,47035.32,Fully Paid,home_improvement,9.34,5,778,776,4,8314,67.08,18,31
31316,36 months,13.23,627.34,F,7 years,OTHER,43044.06,Default,small_business,0.32,4,631,696,0,39282,50.66,19,49
21036,36 months,10.8,929.08,F,3 years,MORTGAGE,91684.05,Charged Off,credit_card,24.19,7,674,679,4,17226,37.83,21,32
26631,36 months,14.28,650.59,C,8 years,OWN,199834.64,Fully Paid,home_improvement,15.79,0,788,733,0,10873,90.1,42,3
14697,36 months,16.86,715.82,B,9 years,OWN,56618.35,Fully Paid,credit_card,27.63,5,844,667,5,18792,59.8,41,9
18082,36 months,24.23,644.81,E,4 years,OWN,184686.95,Fully Paid,home_improvement,28.0,2,814,628,5,3195,87.07,48,10
14640,36 months,5.66,200.58,G,6 years,OTHER,68191.45,Default,credit_card,18.04,2,711,779,9,6078,53.0,6,17
7486,36 months,17.15,103.8,A,7 years,RENT,123890.55,Fully Paid,home_improvement,27.58,6,701,612,5,21511,62.95,32,42
6846,60 months,13.34,789.25,G,1 year,OTHER,154194.81,Charged Off,major_purchase,7.68,2,678,732,3,28893,12.8,40,26
7547,60 months,10.14,850.39,B,1 year,RENT,64677.14,Charged Off,home_improvement,22.22,2,814,780,0,7265,69.4,23,14
2441,60 months,5.77,768.47,F,< 1 year,RENT,186289.91,Default,credit_card,6.38,4,637,709,0,46491,66.85,18,2
11406,60 months,12.85,652.98,E,5 years,OTHER,170019.59,Default,small_business,7.24,6,797,613,8,16483,22.27,13,20
2593,36 months,16.62,898.58,G,1 year,OWN,122946.17,Charged Off,credit_card,29.47,1,749,717,8,45692,80.62,38,14
36678,36 months,21.4,641.73,A,9 years,RENT,49424.5,Charged Off,credit_card,0.53,6,777,664,3,40709,5.06,37,11
37208,36 months,6.69,265.42,D,2 years,MORTGAGE,180429.38,Fully Paid,credit_card,7.26,0,810,643,6,49714,13.2,15,44
1348,60 months,23.86,833.76,F,6 years,OWN,155404.32,Default,debt_consolidation,1.9,3,714,680,1,41491,47.91,45,25
29199,60 months,14.64,921.45,E,8 years,MORTGAGE,126958.67,Default,major_purchase,22.1,5,612,795,4,33567,69.69,16,9
17970,60 months,23.1,69.52,C,7 years,MORTGAGE,164120.65,Charged Off,major_purchase,2.83,1,825,638,6,26299,74.93,21,16
12743,60 months,21.72,136.89,B,10+ years,RENT,34372.91,Fully Paid,home_improvement,13.99,9,707,702,0,39454,81.72,48,3
2549,60 months,11.83,385.95,F,7 years,OWN,132132.9,Default,home_improvement,7.26,7,777,752,0,20187,49.19,43,22
9554,36 months,14.79,653.03,E,2 years,OWN,167317.35,Default,major_purchase,25.89,0,675,819,3,1316,12.37,28,48
17225,60 months,23.75,787.08,B,6 years,MORTGAGE,35963.58,Default,debt_consolidation,9.59,0,720,731,4,27776,93.97,17,18
39749,60 months,10.27,465.09,C,1 year,MORTGAGE,102744.02,Default,small_business,12.09,3,626,766,9,23847,39.21,19,10
32664,60 months,7.33,302.47,F,< 1 year,MORTGAGE,104239.82,Charged Off,major_purchase,19.52,9,666,659,8,9732,37.72,17,14
22950,36 months,6.6,791.78,A,8 years,RENT,67160.62,Charged Off,home_improvement,10.25,5,799,710,2,24341,77.11,15,28
5507,36 months,17.99,712.56,F,7 years,OTHER,63953.34,Fully Paid,credit_card,13.26,2,730,799,3,33012,34.69,43,1
22792,60 months,16.58,473.15,A,5 years,MORTGAGE,26604.93,Fully Paid,home_improvement,2.36,7,620,609,9,26528,36.01,32,34
7249,60 months,15.88,886.01,E,2 years,OTHER,50429.44,Fully Paid,home_improvement,29.98,2,755,830,0,32084,95.0,25,32
21122,36 months,13.46,590.84,B,< 1 year,MORTGAGE,101992.27,Charged Off,credit_card,8.85,1,665,683,4,42684,48.57,48,31
9167,60 months,12.0,240.06,B,6 years,MORTGAGE,181090.77,Default,major_purchase,18.41,9,608,637,7,31783,86.18,22,3
16830,36 months,22.39,754.57,C,6 years,RENT,71454.79,Fully Paid,small_business,2.64,4,820,634,8,17126,72.29,28,40
30076,60 months,22.98,694.08,E,< 1 year,OTHER,109395.0,Default,small_business,15.71,2,819,609,8,9540,67.13,48,33
13485,60 months,7.04,276.56,A,6 years,OWN,38021.33,Default,credit_card,1.05,4,607,639,7,49037,83.72,34,26
27735,36 months,11.14,319.22,C,1 year,MORTGAGE,49907.94,Fully Paid,credit_card,8.99,4,674,623,9,12767,55.21,6,43
6713,60 months,19.0,915.51,D,10+ years,OWN,67448.12,Charged Off,home_improvement,13.71,7,847,680,7,23868,41.07,27,8
20256,36 months,11.18,946.09,B,6 years,OTHER,166329.7,Fully Paid,small_business,5.69,9,780,797,0,21423,18.08,8,1
29418,36 months,14.52,403.73,F,4 years,OTHER,133202.09,Fully Paid,home_improvement,6.69,7,814,604,0,22324,89.35,14,32
39795,60 months,19.66,410.67,A,8 years,RENT,89778.3,Fully Paid,credit_card,10.36,1,769,835,0,47934,6.18,22,28
11055,60 months,21.77,637.56,A,4 years,OTHER,183608.96,Charged Off,debt_consolidation,25.02,0,643,731,8,4101,75.35,13,31
3464,36 months,8.48,586.0,C,4 years,OTHER,64420.7,Fully Paid,debt_consolidation,8.0,9,604,817,1,40259,0.82,24,22
28218,60 months,23.91,321.03,B,8 years,OTHER,55719.99,Fully Paid,home_improvement,26.4,2,700,811,7,45968,74.36,9,41
12991,36 months,11.45,540.33,C,7 years,OWN,177202.58,Default,credit_card,23.79,5,809,758,1,49,2.61,20,14
32712,36 months,19.16,429.29,E,< 1 year,RENT,160249.98,Charged Off,major_purchase,24.07,1,808,681,9,14984,45.7,16,40
10026,36 months,7.77,553.06,D,8 years,OWN,176736.71,Default,credit_card,26.77,1,802,676,7,2899,16.95,8,10
27508,36 months,7.18,761.44,F,8 years,OTHER,178352.21,Default,debt_consolidation,22.71,5,648,823,0,46190,96.12,6,38
13711,36 months,23.49,711.14,B,5 years,OWN,140052.28,Fully Paid,credit_card,24.79,1,678,703,7,14653,2.98,25,7
35884,36 months,23.93,173.46,A,10+ years,OWN,27923.48,Default,credit_card,8.31,5,668,819,8,30547,13.66,17,41
33019,36 months,9.32,205.45,E,9 years,OTHER,33915.53,Fully Paid,major_purchase,6.31,0,800,771,9,16325,41.33,13,41
10169,60 months,24.11,509.37,C,5 years,RENT,77505.6,Fully Paid,credit_card,15.13,2,769,774,3,5731,62.79,11,46
15638,36 months,10.53,663.44,F,1 year,OTHER,123836.1,Charged Off,credit_card,4.76,9,797,760,5,16909,92.13,36,9
38547,60 months,14.15,727.64,B,1 year,MORTGAGE,173306.72,Fully Paid,credit_card,10.47,3,609,825,9,23347,13.11,8,4
2767,60 months,11.89,161.77,G,2 years,OWN,173567.89,Charged Off,major_purchase,23.06,5,636,701,1,1232,30.1,29,15
2462,36 months,6.83,210.84,E,< 1 year,OTHER,90398.28,Charged Off,small_business,2.63,0,800,804,8,44955,21.28,43,36
23578,60 months,13.65,848.29,A,9 years,OTHER,72715.47,Charged Off,home_improvement,29.24,4,775,639,4,14387,42.51,27,41
39640,60 months,22.19,245.38,E,5 years,OWN,67198.09,Default,major_purchase,3.89,6,775,746,6,2751,82.98,30,9
13438,36 months,19.48,237.26,G,1 year,OWN,32159.67,Default,home_improvement,13.56,8,773,737,5,30003,0.35,43,15
36263,36 months,9.51,157.2,E,1 year,OWN,117399.9,Charged Off,credit_card,0.84,5,741,664,3,674,78.35,6,31
32896,60 months,23.25,660.48,B,7 years,OTHER,196192.47,Default,small_business,23.56,5,667,620,3,31202,89.99,12,2
17621,60 months,12.99,695.52,F,1 year,OWN,55137.36,Default,major_purchase,9.1,0,821,657,7,38154,5.4,8,19
35529,36 months,18.32,580.87,B,1 year,RENT,57649.78,Default,small_business,11.76,5,788,602,2,2180,3.43,8,4
30892,36 months,16.76,946.93,F,4 years,MORTGAGE,193768.67,Charged Off,debt_consolidation,8.6,6,728,724,6,14604,68.21,40,29
26856,60 months,12.72,869.79,A,7 years,MORTGAGE,95814.61,Fully Paid,debt_consolidation,0.05,3,685,734,9,5102,90.4,29,43
12715,60 months,7.35,255.45,E,3 years,OWN,196334.66,Default,debt_consolidation,23.63,4,634,833,5,32406,76.68,31,47
36883,36 months,17.07,349.91,A,2 years,MORTGAGE,194844.34,Charged Off,small_business,21.23,2,681,685,1,16553,87.19,34,39
30244,36 months,17.44,906.61,C,7 years,OWN,151254.73,Fully Paid,major_purchase,19.88,3,730,685,1,41066,89.37,17,20
19940,36 months,15.71,117.97,F,2 years,MORTGAGE,95508.65,Charged Off,major_purchase,7.84,9,682,614,5,5069,50.45,25,20
33202,36 months,15.79,848.48,E,6 years,RENT,41135.89,Default,credit_card,12.5,3,748,845,4,8972,87.18,44,29
29821,60 months,6.7,158.2,C,4 years,MORTGAGE,193764.24,Fully Paid,major_purchase,21.48,8,695,836,4,35337,61.47,27,46
4578,60 months,5.82,54.47,B,6 years,OWN,112175.15,Charged Off,home_improvement,16.26,2,713,629,7,46844,94.55,27,49
5566,60 months,12.99,191.78,D,4 years,OWN,57215.19,Charged Off,credit_card,24.2,7,708,625,7,38879,59.19,43,46
28968,36 months,24.44,961.33,F,2 years,MORTGAGE,80799.79,Charged Off,debt_consolidation,12.14,2,759,823,7,25204,29.58,11,13
11315,60 months,5.42,188.89,B,5 years,RENT,43206.77,Fully Paid,home_improvement,19.91,8,723,648,5,30363,85.39,38,28
5414,36 months,9.09,788.19,A,6 years,OWN,157100.47,Charged Off,major_purchase,24.51,2,684,848,2,31320,70.94,49,12
20150,60 months,22.49,459.46,B,3 years,OWN,29054.67,Charged Off,credit_card,7.62,9,693,680,5,21904,92.24,19,2
17633,36 months,7.25,322.6,D,5 years,MORTGAGE,67015.84,Fully Paid,major_purchase,20.53,0,728,680,0,38723,51.29,44,22
